player_id,player_name,name_key,name_key_ascii,first_name,last_name,first_name_key,last_name_key,name_key_first_last
8475177,Calvin de Haan,calvin de haan,calvin de haan,Calvin,Haan,calvin,haan,calvin haan
8475231,Casey Cizikas,casey cizikas,casey cizikas,Casey,Cizikas,casey,cizikas,casey cizikas
8474666,David Ullstrom,david ullstrom,david ullstrom,David,Ullstrom,david,ullstrom,david ullstrom
8474659,Matt Donovan,matt donovan,matt donovan,Matt,Donovan,matt,donovan,matt donovan
8469516,Brendan Bell,brendan bell,brendan bell,Brendan,Bell,brendan,bell,brendan bell
8474176,Carl Hagelin,carl hagelin,carl hagelin,Carl,Hagelin,carl,hagelin,carl hagelin
8475184,Chris Kreider,chris kreider,chris kreider,Chris,Kreider,chris,kreider,chris kreider
8474772,Stu Bickel,stu bickel,stu bickel,Stu,Bickel,stu,bickel,stu bickel
8475148,Tim Erixon,tim erixon,tim erixon,Tim,Erixon,tim,erixon,tim erixon
8474670,Andre Petersson,andre petersson,andre petersson,Andre,Petersson,andre,petersson,andre petersson
8475182,David Rundblad,david rundblad,david rundblad,David,Rundblad,david,rundblad,david rundblad
8475164,Jakob Silfverberg,jakob silfverberg,jakob silfverberg,Jakob,Silfverberg,jakob,silfverberg,jakob silfverberg
8474697,Mark Borowiecki,mark borowiecki,mark borowiecki,Mark,Borowiecki,mark,borowiecki,mark borowiecki
8475913,Mark Stone,mark stone,mark stone,Mark,Stone,mark,stone,mark stone
8476459,Mika Zibanejad,mika zibanejad,mika zibanejad,Mika,Zibanejad,mika,zibanejad,mika zibanejad
8474884,Mike Hoffman,mike hoffman,mike hoffman,Mike,Hoffman,mike,hoffman,mike hoffman
8475430,Brandon Manning,brandon manning,brandon manning,Brandon,Manning,brandon,manning,brandon manning
